Species	Index	Locality		Age.min	Age.max
Histiophorus homalorhamphus-Istiophorus homalorhamphus (3113)	I001	USA (New Jersey)	Thanetian	56	59.2
Ischyrhiza radiata (84045)- dagger_Xiphias radiata Clark 1895	I002	USA (Maryland)	Thanetian	56	59.2
Xiphiorhynchus sp., Tamesichthys decipens, Hemirhabdorhynchus elliotti, Xiphiorhynchus parvus (13299)	I003	United Kingdom (England)	Ypresian	47.8	56
Hemirhabdorhynchus ypresiansis, Glyptorhynchus bruxelliensis, Glyptorhynchus sp., Hemirhabdorhynchus depressus, Glyptorhynchus compressus (219001)	I004	Belgium	Ypresian	47.8	56
Brachyrhynchus sp. (41989) Xiphiorhynchus sp. (41888) Xiphiorhynchus sp., Brachyrhynchus sp. (41992)	I006	United Kingdom (England)	Lutetian	41.3	47.8
Xiphiorhynchus sp. (53666)	I007	Antarctica (Seymour Island)	Lutetian - Bartonian	37.71	47.8
Xiphiorhynchus antiquus (5387)	I008	USA (North Carolina)	Bartonian	37.71	41.3
Histiophorus parvulus (84022)	I009	USA (New Jersey)	Bartonian	37.71	41.3
Xiphiorhynchus eocaenicus (61249)	I010	USA (Mississippi)	Bartonian	37.71	41.3
Xiphias antiquus (84050)	I005	USA (New Jersey)	Eocene	33.9	56
Xiphias sp. (113118)	I011	Kazakhstan	Priabonian	33.9	38
Xiphiorhynchus sp., Xiphiorhynchus kimblalocki (75638)	I012	USA (Louisiana)	Priabonian	33.9	38
 Embalorhynchus kinnei Marsh (1869, p. 228	I038	 Squankum, Monmouth Count	 Eocene	33.9	56
 Istiophorus parvulus (Marsh) (1869, p. 227	I039	 Squankum, Monmouth Count	 Eocene	33.9	56
 Istiophorus homalorhamphus (Cope) (1869, p. 310	I040	 Squankum, Monmouth Count	 Eocene	33.9	56
X. elegans	I041	Belgium	Eocene	33.9	56
X. aegypticus	I042	Egypt	Eocene	33.9	56
X. eocaenicus- X, priscus	I043	England	Eocene	33.9	56
X. cd eocaenicus, X. homolorhamphus	I044	USA	Eocene	33.9	56
Istiophorus solidus	I049	Belgium	Late Eocene	33.9	41.2
Xiphiorhynchus aegyptiacus (211540) Xiphiorhynchus rotundus (45781)	I013	USA (South Carolina)	Chattian	23.03	27.82
Xiphias sp. (48647)	I014	Australia (Victoria)	Chattian	23.03	28.1
X. rupenliensis	I045	Belgium	Oligocene	23.03	33.9
X. hungaricus	I046	Hungary	Oligocene	23.03	33.9
X. rotundus	I047	USA	Oligocene	23.03	33.9
Makaira sp. (167732)	I016	Peru	Burdigalian	15.98	20.44
Makaira sp. (46069)	I018	USA (California)	Langhian - Serravallian	13.83	15.97
Hemirhabdorhynchus sp. (48887)	I015	USA (North Carolina)	Aquitanian - Langhian	13.82	23.03
Makaira belgicus	I050	Belgium	Middle Miocene	11.63	15.98
Makaira teretirostris	I051	Belgium	Middle Miocene	11.63	15.98
Istiophorus sp. (105548)	I017	USA (Virginia)	Burdigalian - Serravallian	11.62	20.44
Istiophorus sp. (187324)	I019	USA (Virginia)	Serravallian	11.62	13.82
Makaira nigricans (45503)	I020	Italy (Apulia)	Tortonian	7.246	11.62
Makaira nigricans (24237)	I021	Panama	Tortonian	7.246	11.62
Istiophoridae indet. (50069)	I022	USA (California)	Tortonian	7.246	11.62
Xiphiorhynchus sp. (46083)	I023	Peru	Tortonian - Messinian	5.333	11.62
Xiphiidae indet., Istiophoridae indet. (154642)	I024	Chile	Tortonian - Messinian	5.333	11.62
Makaira panamensis (192109)	I025	Panama	Late/Upper Miocene	5.333	11.608
Makaira sp., Istiophoridae indet. (162358)	I026	Chile (Antwerpen)	Messinian	5.333	7.246
Xiphiidae indet. (13079)	I027	Peru	Messinian	5.333	7.246
Xiphiorhynchus courcelli (59256)	I028	Algeria (Oran)	Messinian	5.333	7.246
Istiophorus platypterus	I048	Virginia	late Miocene	5.33	11.63
Xiphias gladius (210256)	I029	Italy	Zanclean	3.6	5.333
Istiophorus platypterus, Makaira indica, Makaira nigricans, Makaira purdyi, Tetrapturus albidus, Xiphias gladius (52582)	I030	USA (North Carolina)	Zanclean	3.6	5.333
Makaira purdyi	I052	North Carolina	Early Pliocene	3.6	5.33
Xiphias delfortrierii (96767)	I031	Italy	Pliocene	2.588	5.333
Istiophoridae indet. (75482)	I033	USA (California)	Piacenzian	2.588	3.6
Istiophoridae indet. (204356) Makaira nigricans (204355 204357)	I034	Mexico (Baja California Sur)	Piacenzian	2.588	3.6
Xiphias gladius (57058)	I035	Italy	Piacenzian - Gelasian	1.806	3.6
Xiphias gladius (186574)	I036	Italy (Bologna)	Gelasian	1.806	2.588
Istiophorus platypterus (206459)	I032	USA (California)	Blancan	1.8	4.9
Istiophorus albicans (188304)	I037	USA (South Carolina)	Late/Upper Pleistocene	0.0117	0.126
